time,DT,MassRate_1006,MassRate_1007,MassRate_1008,MassRate_1009,MassRate_1010,P_1001,P_1002,P_1003,P_1004,P_1005,T_1006,T_1007,T_1008,T_1009,T_1010
287893.22670669,882.94816578984,2.9607009621051,2.9604788656801,2.9604589934536,2.9604402906446,2.9606246738581,29971447.248726,30219359.339335,30469441.634638,30719525.900249,30971780.091953,475.71539273875,475.74748388789,475.75056932154,475.75363333491,475.72769258601
293083.53261603,627.16460092268,2.960698526548,2.960475661713,2.9604570675507,2.9604376285032,2.9606223623038,29971793.846247,30219728.358593,30469809.747103,30719894.594488,30972126.444251,475.7162903011,475.74829163093,475.75137913449,475.75444214221,475.72859194541
299724.42957651,890.95929272054,2.960699639681,2.9604774952181,2.9604576454688,2.9604389608152,2.9606230696208,29972145.582954,30220101.350696,30470183.189107,30720268.340214,30972478.240258,475.71742476068,475.74931111703,475.75239796166,475.75546124776,475.72972602435
306583.15351404,346.62003637221,2.9606960090847,2.9604736024106,2.9604548979868,2.960436247387,2.9606210174789,29972562.905322,30220544.03509,30470625.731678,30720710.533454,30972895.748283,475.71860900119,475.75037816771,475.75346220185,475.75652765939,475.73090748787
312214.00077963,601.8387733443,2.9606971268399,2.9604745766056,2.9604556216184,2.9604369168162,2.960621010574,29972851.268386,30220850.10648,30470932.145439,30721016.705826,30973184.447385,475.71956926755,475.75123978811,475.75432694138,475.75738809268,475.73186963847
322764.93685898,1561.0147805576,2.9606959571053,2.9604750783293,2.9604556830568,2.9604370545659,2.9606215930462,29973362.525134,30221390.521745,30471473.236073,30721557.333423,30973696.302008,475.72136974188,475.75286014768,475.75594276205,475.759008145,475.73367785495
345366.09205039,1108.8003235241,2.960690563545,2.9604685936184,2.9604490320921,2.9604302977772,2.9606143516175,29974505.110054,30222589.93901,30472671.550718,30722756.125273,30974837.512554,475.72523794511,475.75631398995,475.75940315898,475.76246425595,475.73754564538
364804.6557595,2875.9424788972,2.9606928872652,2.9604708100864,2.9604535036869,2.9604337250384,2.960616440118,29975305.434668,30223429.275795,30473510.366112,30723594.958895,30975637.147648,475.72852773797,475.75925431658,475.76235334987,475.76539881635,475.74083890447
398994.34747487,1248.3797184835,2.9606823455958,2.9604642938707,2.9604450130581,2.9604259127583,2.9606079793607,29976775.818772,30224955.538474,30475038.123645,30725122.198659,30977107.293652,475.73432876768,475.76443473721,475.76753035825,475.77057740351,475.74666659683
420879.9008753,3237.9754821582,2.9606853936755,2.9604653276214,2.9604465327747,2.9604268124877,2.9606098374053,29977600.325249,30225814.19191,30475897.09266,30725981.119291,30977932.423475,475.73804923544,475.76773641584,475.77084464888,475.77388901406,475.75038140098
459373.50230483,1405.5298221483,2.9606741711815,2.9604572634147,2.960437123264,2.9604183687172,2.9606001328632,29979074.200831,30227337.601472,30477419.972938,30727504.368415,30979405.167938,475.74459176599,475.7735787763,475.77667293125,475.77971904079,475.75694068527
466804.0347798,546.80926733211,2.9606745805226,2.9604555725147,2.9604364845077,2.9604173386931,2.960599337464,29979372.731144,30227649.220437,30477731.579977,30727815.905449,30979703.858827,475.74585605747,475.77469427657,475.77778830729,475.78083360119,475.75819643501
471047.1862474,425.4628683485,2.960674885688,2.9604555204663,2.9604364426049,2.9604173957093,2.9605989777758,29979532.404741,30227813.287228,30477895.585138,30727979.902063,30979863.017063,475.7465765203,475.77533094553,475.77842428617,475.78146867663,475.75891291571
475506.260625,404.61095440134,2.9606745515165,2.9604551184443,2.9604360451195,2.9604170304094,2.9605984482715,29979697.357986,30227983.984969,30478066.232551,30728150.533598,30980027.769688,475.74733798561,475.77600501342,475.77909739175,475.78214178338,475.75967145393
